n,seed,res64,err64,res32,err32,res_mixed,err_mixed
128,1,1.833078742905549e-13,2.3546526942661703e-13,4757.330655698831,417.57294166685887,1.3604131367685988e+18,1.1974397193882294e+17
128,2,1.898451506225485e-13,1.5409903580520057e-13,3276.1737186527293,284.5296518293077,4516189765309965.0,380654642845513.0
128,3,2.248092792962424e-13,2.823386867393165e-13,1111.480349887519,105.224329555681,5408896013262705.0,499913490972953.75
128,4,2.178741899119812e-13,2.1149052168527165e-13,793.357417087525,66.19589538931878,6.621926679900368e+16,6306351329911252.0
128,5,2.527448014277008e-13,1.386085768201536e-13,1503.7420767830051,133.48559056577358,1848842540498546.0,168904793687196.5
128,6,2.1854152972661359e-13,2.0244451389131742e-12,2221.5118623314424,204.68344128798702,4.9638615596085536e+17,4.650962477830272e+16
128,7,2.2306986038006925e-13,1.005918078447618e-12,7095.755378541762,589.3789848849389,1.8247394926966528e+21,1.518641084185712e+20
128,8,2.230615718237688e-13,1.8637480278447186e-13,1168.8398074160978,125.94573693167364,5342816401103178.0,527097786416911.94
128,9,2.0690339807749773e-13,1.4282275951437725e-13,1686.198924562499,139.0861709770612,131640801980571.9,11906765510397.54
128,10,1.628030679898497e-13,7.941246102225664e-14,1989.1779055966922,157.81408611673172,326176097630535.3,26931526724571.336
128,11,2.0210621427730652e-13,1.7202091619575397e-13,2534.5495386694365,239.9301870689715,2.6717220076581514e+17,2.553682602930352e+16
128,12,2.3665259925684046e-13,9.388739366125989e-14,998.8257809776087,90.59162767730624,16042564145603.523,1610377353841.1416
128,13,2.2036335754907842e-13,1.664632728107285e-13,1641.1107991711779,147.53286794409578,304787063528099.8,26758539467580.363
128,14,2.004320037254852e-13,8.887728839680638e-14,1744.16943974309,149.89748021090986,131721675329.23885,12000398432.454731
128,15,2.8865621964799376e-13,3.7763217417268915e-13,545.0225578113087,46.22723486674681,2.6427862202181434e+22,2.379350335908749e+21
128,16,2.3847445846699686e-13,3.817263698352872e-13,9435.402657937784,866.8767325351513,2.781842471118958e+21,2.5736310441122896e+20
128,17,2.730184471860478e-13,7.837509256708544e-13,3526.9812700914567,346.8090750500385,2.6801358844283778e+20,2.6636838923733307e+19
128,18,2.303317609817551e-13,6.759167067708335e-13,1512.0815639694274,132.06654429847893,7.51848147750471e+18,6.51945150251281e+17
128,19,2.321290237954312e-13,7.942398717773569e-13,2302.717369825858,221.15961090519238,1.463867088905899e+16,1303837254652851.5
128,20,2.3868886178406666e-13,6.998923789217949e-14,847.0786087945944,77.87335215728979,1.2872108908042694e+16,1149921797836710.0
128,21,2.201339059454984e-13,2.0303159358757647e-13,2572.748693680957,208.27592651487421,2.688234652883952e+18,2.2322647892121747e+17
128,22,2.1705300240946503e-13,7.302238226041724e-14,971.7168505790596,92.05179834905434,475589351655.735,42105564144.10597
128,23,2.4630842647803926e-13,9.268607006345917e-14,658.3775019065682,60.17101380400651,482354719829.7357,43220963238.74359
128,24,3.130863783657496e-13,1.241639400906356e-13,937.9943293357977,84.49122938166096,8336133452567.16,771786767080.7823
128,25,2.649550446582911e-13,4.98750688020017e-13,4229.356368703372,331.4279474846964,1.5163547123013714e+16,1176185367052922.8
128,26,2.1302550204687746e-13,2.4485604402563545e-12,21429.58529940859,1746.023800860275,4.835873274403409e+32,3.9266433997189376e+31
128,27,2.0604854010870617e-13,5.795523701150479e-14,555.2530326021985,51.52531760942704,1167292167141.1826,102236641018.6726
128,28,2.841518612152421e-13,1.2253793408694986e-12,33134.90479362504,2814.292738828589,3.295757922925053e+24,2.8218541470165605e+23
128,29,2.00382923171085e-13,1.1859785651456294e-13,819.1713215501915,69.80768553298975,623368503576.0566,56333079884.80626
256,0,8.975541171709832e-13,9.626118869648704e-13,4138.139975476526,267.1865973465207,6.3777149895146e+18,3.9154992383429664e+17
256,1,8.223896101530815e-13,6.2132814309522305e-12,20943.068540621753,1287.1783827597028,1.4974480509528553e+23,9.288985606847378e+21
256,2,9.877824893775757e-13,1.082126835930822e-12,5584.337638999896,326.42624925388367,2.1223168274038052e+16,1335734164569985.8
256,3,8.818168257643222e-13,2.8987865769570755e-13,10447.805223769185,684.014996254194,6.439600440971896e+20,4.169328295874432e+19
256,4,8.049674930253073e-13,2.9320071536122164e-13,2618.1715114147833,176.1087632163336,497329832297522.0,32461743301855.152
256,5,8.23087363911924e-13,7.961209123222638e-13,3263.3689907458297,211.8985142712119,3587475356022310.5,238223847031623.25
256,6,8.970849431173307e-13,6.936563465300222e-13,2645.181462012691,161.66512304543974,1.0375570294069284e+20,6.024702716378791e+18
256,7,8.6824014751204e-13,4.080865877361356e-13,6598.450790061103,423.3984171479607,4.571873334206555e+16,2973047162721856.0
256,8,9.493342777863526e-13,1.9618131077549583e-12,12743.641434291234,823.8033529089273,7.410258530989913e+24,4.8417197109803486e+23
256,9,9.984852356533348e-13,4.563203420384182e-13,5151.512182060622,321.46575856851643,4785698959794079.0,308487741064174.75
256,10,8.513603942639582e-13,3.8166354443381067e-13,4957.182715440886,320.1970024633506,7.100722387238235e+17,4.5183918769215624e+16
256,11,1.2070123330642313e-12,4.077821932167814e-12,8024.543209387399,489.83290685613207,4.5205337474685816e+20,2.829265889396452e+19
256,12,1.4500140440077628e-12,8.514830208924219e-13,6808.138222174549,443.467714559032,9.21291393069751e+16,6160275360976929.0
256,13,8.307076838592733e-13,8.019773538422965e-13,20025.679353373504,1318.6461738340577,2.7294411087468737e+27,1.763794273817572e+26
256,14,6.838956889954994e-13,2.580973649724855e-13,3641.681288395987,248.48736733168795,3533525491952324.5,217340198873276.88
256,15,8.033202879415168e-13,5.00698693993133e-13,9726.261652657393,620.998596089637,6.926277000177175e+21,4.481020313156999e+20
256,16,8.157722060965364e-13,5.781719073855514e-13,4625.006023679708,269.07113232014245,270805526534988.72,18061735853042.176
256,17,9.040444804793498e-13,4.1119479083796806e-12,11637.528590796233,764.4675776564769,1.3439122006848147e+21,8.506534720875608e+19
256,18,8.81261023647873e-13,5.56753147566513e-13,4683.802111384312,280.81257925480827,461106988947449.9,29351119517355.656
256,19,7.71224589062491e-13,4.778909582861847e-13,2547.243348055289,165.46555772515302,2.2090387848065933e+18,1.4363927186584725e+17
256,20,9.330952615722374e-13,1.2131875932637224e-12,10250.226708257887,619.4850829523006,6.241005492555887e+27,3.693972769789363e+26
256,21,1.0097445389084633e-12,2.7005351396911026e-12,3217.443582930655,208.29230459676887,2.158817876395952e+18,1.4877191079433034e+17
256,22,8.459942647156336e-13,8.474591244749366e-13,2529.1746162382397,166.4620876368067,759497998424969.1,46264397690438.54
256,23,7.284204315547331e-13,4.764204638940372e-13,9409.817512179763,596.006472198967,5595836367784992.0,354534906271615.9
256,24,7.902307944262076e-13,3.0983691156609926e-13,3215.4103122396464,201.330990388782,25651718746913.07,1686849306215.5015
256,25,8.386776695215525e-13,3.868626254092405e-13,2871.4683754396233,168.0867032556329,1031657804739618.5,59808024531256.45
256,26,9.714134761259689e-13,3.801556494806206e-12,19555.687562738658,1291.168155782118,1.1155656432755845e+23,7.399359135064085e+21
256,27,9.352485547583466e-13,1.6927807907229796e-12,2899.70535501135,184.71788607865312,3.3168045796395105e+18,2.1698455973259376e+17
256,28,1.016498763000286e-12,1.280053604352234e-12,10771.276575529733,651.7130211972341,1.0662764229343923e+23,6.255848073142175e+21
256,29,8.85951546020574e-13,9.834762571170483e-13,7495.2317927633085,497.35714453393774,364036826956899.06,22583641574965.23
512,0,4.430744081820731e-12,2.5452813206597484e-12,22904.62358910006,975.9315068159085,5.658418017726933e+18,2.361261519776233e+17
512,1,3.4999420418760796e-12,1.393471417825353e-12,14341.501479716337,654.634466750856,1.3687021661190662e+20,5.88574239768899e+18
512,2,3.978462173072054e-12,1.8550966713961632e-12,183222.2871178748,8241.532624574591,1.0595371166160923e+27,4.757085417312242e+25
512,3,3.96927725297224e-12,9.913910295042202e-12,43926.4591963904,1983.537974508034,3.5142546761309504e+22,1.5946780085360109e+21
512,4,3.267200904071636e-12,1.9848234499892006e-12,8140.265813058695,335.0661908536176,7.383806546017598e+20,3.2307129726495683e+19
512,5,3.5986546828298676e-12,2.2992686809145888e-12,25809.316379781343,1149.7470522918325,1.583852184367127e+18,7.063270298804591e+16
512,6,3.9866411568383315e-12,3.1471535631000105e-12,29537.468073676653,1288.7426129988023,5.716995857832438e+19,2.534361921124068e+18
512,7,3.986942362315163e-12,2.6765449727196006e-12,34115.06293623221,1574.388561325982,4.910049339159901e+20,2.2321307740202267e+19
512,8,3.6086125742317865e-12,2.5285215535927446e-12,24374.56380255282,1107.1566373192752,3.118660433027846e+20,1.4251002973362305e+19
512,9,2.9929032105360274e-12,3.078641930553769e-11,149922.76372879447,6500.912937217532,5.5919935413397886e+26,2.4142056877758024e+25
512,10,3.8623631378607835e-12,1.1358905375874804e-12,5005.1981972909325,238.73378922475044,3.645047616464893e+18,1.5522457043107757e+17
512,11,3.8944761472249144e-12,1.1012436103403485e-12,9640.489149168028,432.21303184982617,1562529296232628.2,72567759168904.42
512,12,3.3688428104896926e-12,1.6458327658168416e-12,11024.576828187048,479.8687876963366,2.2361117247943756e+16,987270069644472.4
512,13,4.881835578679393e-12,4.429343630727944e-12,8795.786421557903,385.0876421791614,6.067933633151426e+18,2.678939822540859e+17
512,14,4.039389518216886e-12,6.166989135290189e-12,69240.45259553239,3139.172136843376,3.884361255322995e+20,1.7569826556938654e+19
512,15,3.753707128311761e-12,1.002530635104271e-12,27202.303187192527,1264.1398254952528,3.002582646235583e+20,1.3595711783883674e+19
512,16,4.235656891521248e-12,1.1221610951819033e-12,7641.082863549702,337.0647620643015,1.9466302479253396e+20,8.745907299692272e+18
512,17,3.931014855648246e-12,1.7490384537277152e-12,9726.56129671703,418.1263123484862,3823837321300414.5,172366184735100.9
512,18,4.183672048165504e-12,1.1061285659348138e-12,9572.912690083713,428.49044474187446,2.6224398824933812e+16,1151810613444708.2
512,19,3.676017233515622e-12,3.944858878784253e-12,17725.079106690155,749.3996386400952,4.0070591889232905e+22,1.6930609546124675e+21
512,20,3.6198455722120153e-12,1.5357450122199109e-12,14323.606656929294,657.773751814174,1.8047011972233185e+18,8.198442847037128e+16
512,21,4.401061377749635e-12,6.9575215206722146e-12,24024.164555483225,1075.9655704641789,1.1767229147895064e+29,5.265220339146824e+27
512,22,4.08412022397981e-12,4.335753234660061e-12,31731.33903007086,1405.0904235204503,1.8275086255075548e+20,8.087165923282545e+18
512,23,3.8837200115028e-12,9.686722651600379e-12,10859.583085166034,510.05036236219945,1.7733524285899632e+22,8.667189547915363e+20
512,24,3.5514425652326844e-12,1.2922161214045947e-12,8598.476792603502,366.6481002021725,3.2319599219668468e+16,1372857214281782.2
