n,matrix,seed,residual,error
256,random,28,1.016498763000286e-12,1.280053604352234e-12
256,random,29,8.85951546020574e-13,9.834762571170483e-13
256,random,30,1.0244198645706907e-12,5.633992109927973e-13
256,random,31,1.0464112979870719e-12,7.952082602265061e-13
256,random,32,8.553842964763439e-13,2.857667697885776e-13
256,random,33,8.798606777862402e-13,5.271251117167548e-13
256,random,34,8.908572338846883e-13,3.6218320280902166e-13
256,random,35,7.348547330036118e-13,3.3507823892837954e-12
256,random,36,9.105257357325613e-13,5.329620050264154e-13
256,random,37,1.0672370610406613e-12,1.1669249532915688e-12
256,random,38,1.1268551401973828e-12,5.337626707096501e-13
256,random,39,8.715070560026617e-13,1.3944935518082e-12
256,random,40,1.0452261279092378e-12,1.1112594616192137e-11
256,random,41,1.0148725687674746e-12,8.131198396454471e-13
256,random,42,8.60758681891013e-13,2.7029819457002956e-12
256,random,43,7.636541382431768e-13,1.6234588573236267e-12
256,random,44,1.1579991886636158e-12,2.1788657920262586e-13
256,random,45,9.518317992547147e-13,6.046172355319367e-13
256,random,46,8.744478526929343e-13,3.306948155712726e-12
256,random,47,9.416939705643262e-13,3.589304538356442e-11
256,random,48,9.542336347710158e-13,7.631480650917118e-12
256,random,49,9.049451778011576e-13,7.66890739182466e-13
512,random,0,4.430744081820731e-12,2.5452813206597484e-12
512,random,1,3.4999420418760796e-12,1.393471417825353e-12
512,random,2,3.978462173072054e-12,1.8550966713961632e-12
512,random,3,3.96927725297224e-12,9.913910295042202e-12
512,random,4,3.267200904071636e-12,1.9848234499892006e-12
512,random,5,3.5986546828298676e-12,2.2992686809145888e-12
512,random,6,3.9866411568383315e-12,3.1471535631000105e-12
512,random,7,3.986942362315163e-12,2.6765449727196006e-12
512,random,8,3.6086125742317865e-12,2.5285215535927446e-12
512,random,9,2.9929032105360274e-12,3.078641930553769e-11
512,random,10,3.8623631378607835e-12,1.1358905375874804e-12
512,random,11,3.8944761472249144e-12,1.1012436103403485e-12
512,random,12,3.3688428104896926e-12,1.6458327658168416e-12
512,random,13,4.881835578679393e-12,4.429343630727944e-12
512,random,14,4.039389518216886e-12,6.166989135290189e-12
512,random,15,3.753707128311761e-12,1.002530635104271e-12
512,random,16,4.235656891521248e-12,1.1221610951819033e-12
512,random,17,3.931014855648246e-12,1.7490384537277152e-12
512,random,18,4.183672048165504e-12,1.1061285659348138e-12
512,random,19,3.676017233515622e-12,3.944858878784253e-12
512,random,20,3.6198455722120153e-12,1.5357450122199109e-12
512,random,21,4.401061377749635e-12,6.9575215206722146e-12
512,random,22,4.08412022397981e-12,4.335753234660061e-12
512,random,23,3.8837200115028e-12,9.686722651600379e-12
512,random,24,3.5514425652326844e-12,1.2922161214045947e-12
512,random,25,4.209293105553642e-12,1.7981827768080243e-12
